hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H5790237,Y24H5790237P01,Weekday,vehicle driver,56,78.14853,56.0,552.181125894,melb - middle,greater melbourne,0.0
Y24H5790238,Y24H5790238P02,Weekday,vehicle driver,15,5.81092,15.0,414.909343969,melb - middle,greater melbourne,0.0
Y24H5790240,Y24H5790240P04,Weekday,vehicle passenger,7,2.37861,7.0,962.071466388,melb - middle,greater melbourne,0.0
Y24H5790316,Y24H5790316P02,Weekday,vehicle driver,26,15.75595,26.0,497.31624974,melb - inner,greater melbourne,0.0
Y24H5790502,Y24H5790502P01,Weekday,public bus,70,10.85609,90.0,871.143191113,melb - outer,greater melbourne,20.0
Y24H5790502,Y24H5790502P02,Weekday,train,90,42.310570000000006,90.0,563.616359923,melb - outer,greater melbourne,0.0
Y24H5790502,Y24H5790502P03,Weekday,bicycle,60,21.69791,60.0,707.756676849,melb - outer,greater melbourne,0.0
Y24H5790508,Y24H5790508P02,Weekday,vehicle driver,33,18.26573,68.0,429.036859246,melb - outer,greater melbourne,35.0
Y24H5790512,Y24H5790512P01,Weekday,vehicle driver,2,1.11197,2.0,3503.098468571,melb - outer,greater melbourne,0.0
Y24H5790530,Y24H5790530P03,Weekday,vehicle driver,32,14.67455,52.0,336.30799533,melb - outer,greater melbourne,20.0
Y24H5790531,Y24H5790531P01,Weekday,vehicle driver,30,29.73299,30.0,967.70910211,melb - outer,greater melbourne,0.0
Y24H5800202,Y24H5800202P01,Weekday,vehicle driver,34,15.58347,34.0,568.831459183,melb - inner,greater melbourne,0.0
Y24H5800210,Y24H5800210P01,Weekday,vehicle passenger,35,12.01144,46.0,494.00000906,melb - inner,greater melbourne,11.0
Y24H5800210,Y24H5800210P02,Weekday,vehicle driver,3,0.83785,3.0,793.121040398,melb - inner,greater melbourne,0.0
Y24H5800211,Y24H5800211P01,Weekday,vehicle driver,70,38.72311,104.0,442.268683392,melb - inner,greater melbourne,34.0
Y24H5800215,Y24H5800215P01,Weekday,train,39,15.97379,50.0,689.50868317,melb - inner,greater melbourne,11.0
Y24H5800216,Y24H5800216P01,Weekday,train,44,15.96159,44.0,460.906391644,melb - inner,greater melbourne,0.0
Y24H5800216,Y24H5800216P03,Weekday,walking,10,1.08656,10.0,1041.735132619,melb - inner,greater melbourne,0.0
Y24H5800217,Y24H5800217P01,Weekday,train,60,14.15597,61.0,725.218537364,melb - inner,greater melbourne,1.0
Y24H5800217,Y24H5800217P02,Weekday,vehicle driver,9,5.35044,9.0,754.396411671,melb - inner,greater melbourne,0.0
Y24H5800217,Y24H5800217P03,Weekday,vehicle driver,40,30.04337,42.0,947.335634462,melb - inner,greater melbourne,2.0
Y24H5800218,Y24H5800218P02,Weekday,vehicle driver,26,12.08561,26.0,373.188517511,melb - inner,greater melbourne,0.0
Y24H5800218,Y24H5800218P03,Weekday,vehicle driver,13,6.69391,13.0,494.886866554,melb - inner,greater melbourne,0.0
Y24H5800219,Y24H5800219P01,Weekday,train,49,13.927090000000002,50.0,1419.786671323,melb - inner,greater melbourne,1.0
Y24H5800219,Y24H5800219P02,Weekday,train,45,13.988180000000002,46.0,797.043075488,melb - inner,greater melbourne,1.0
Y24H5800224,Y24H5800224P03,Weekday,train,54,20.36022,62.0,721.156439682,melb - middle,greater melbourne,8.0
Y24H5800231,Y24H5800231P02,Weekday,vehicle driver,45,17.54193,45.0,4709.085525757,melb - middle,greater melbourne,0.0
Y24H5800239,Y24H5800239P01,Weekday,train,45,19.08892,49.0,837.433689352,melb - middle,greater melbourne,4.0
Y24H5800322,Y24H5800322P01,Weekday,walking,24,0.45846,24.0,4644.239030501,melb - inner,greater melbourne,0.0
Y24H5800410,Y24H5800410P02,Weekday,vehicle driver,22,7.39462,35.0,1539.712499874,melb - middle,greater melbourne,13.0
